iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0003+380,1999,2,1.4882311147,0.696,38.337541295,0.615,-0.374
0003-066,1999,91,1.557887002,0.149,-6.393148652,0.422,0.044
0008-264,1999,1,2.755194768,0.164,-26.2092711241,0.372,-0.256
0013-005,1999,7,4.046202349,0.367,-0.2534570412,0.836,-0.165
0014+813,1999,59,4.285312225,1.466,81.5855935153,0.229,-0.018
0016+731,1999,3,4.9407766046,0.689,73.4583382548,0.168,0.127
0019+058,1999,3,5.6351717103,0.238,6.1345189559,0.393,-0.214
0039+230,1999,1,10.5189382641,0.102,23.3336281655,0.182,-0.215
0046+316,1999,2,12.1964228437,0.333,31.9569679764,0.417,-0.048
0048-097,1999,125,12.6721557565,0.213,-9.4847805595,0.449,-0.015
0055+300,1999,4,14.4536805236,0.49,30.352447817,0.521,-0.289
0056-001,1999,1,14.7729787082,0.18,0.1143393734,0.313,-0.201
0056-572,1999,1,14.6940876842,1.84,-56.9865199931,1.642,-0.083
0059+581,1999,103,15.6906766642,0.371,58.4030934953,0.216,0.115
0104-408,1999,77,16.6879498691,0.586,-40.5722111714,0.793,0.664
0106+013,1999,24,17.1615462851,0.067,1.5834212959,0.331,0.833
0108+388,1999,1,17.9054763883,17.36,39.1078037618,4.904,0.565
0109+224,1999,1,18.024269559,0.367,22.7441073147,0.199,0.245
0111+021,1999,14,18.4297706109,0.326,2.3714767807,0.548,-0.299
0112-017,1999,2,18.8212496601,0.136,-1.451271702,0.291,-0.292
0113-118,1999,1,19.0521750932,0.136,-11.6042875655,0.309,-0.099
0119+041,1999,72,20.486923794,0.208,4.3735373456,0.413,-0.074
0119+115,1999,77,20.4233126682,0.155,11.8306703134,0.353,0.035
0127+084,1999,2,22.6151435724,0.431,8.7128254611,1.004,0.024
0130-171,1999,1,23.1811976831,0.227,-16.9134786927,0.377,0.448
0133+476,1999,60,24.2441450548,0.228,47.8580833408,0.178,-0.06
0135-247,1999,1,24.4097764667,0.274,-24.5149684518,0.434,0.104
0146+056,1999,6,27.3432119966,0.349,5.9315468573,0.655,-0.145
0149+218,1999,1,28.0752458947,0.367,22.1188054211,0.223,-0.01
0151+474,1999,1,28.7345411323,0.582,47.7240387049,0.199,-0.511
0201+088,1999,1,31.1448314968,3.714,9.063683206,2.336,0.216
0201+113,1999,42,30.9444045383,0.216,11.5792803683,0.411,-0.242
0202+149,1999,41,31.2100579671,0.123,15.2364009235,0.25,-0.071
0202+319,1999,1,31.2705222845,0.262,32.2083598692,0.287,-0.122
0208-512,1999,7,32.6925014395,1.22,-51.0171922942,1.113,-0.814
0212+735,1999,2,34.3783895019,0.327,73.8257281782,0.125,0.086
0215+015,1999,4,34.4539781237,0.276,1.7471386584,0.513,-0.137
0220+427,1999,1,35.7975459953,0.983,42.9920518835,0.883,-0.152
0221+067,1999,6,36.1184506736,0.403,6.9898171821,0.709,-0.19
0224+671,1999,1,37.2085482033,0.389,67.350841487,0.054,-0.045
0229+131,1999,100,37.9412251776,0.222,13.3818656056,0.373,-0.049
0234+285,1999,47,39.4683570196,0.138,28.8024971937,0.187,-0.132
0235+164,1999,64,39.6622087487,0.17,16.6164651816,0.344,-0.055
0236+610,1999,1,40.1319350093,5.914,61.2293315142,2.137,-0.873
0237-027,1999,1,39.9394677785,0.352,-2.5780318147,0.607,-0.327
0237-233,1999,1,40.0340606293,3.312,-23.1543706989,1.687,0.25
0238-084,1999,22,40.2699937264,0.216,-8.2557643895,0.421,0.071
0239+108,1999,6,40.6215452131,0.336,11.0168688671,0.605,-0.143
0248+430,1999,1,42.8939027031,0.844,43.2543970109,0.662,-0.325
0252-549,1999,1,43.3715852292,2.142,-54.6976211318,0.934,0.522
0256+075,1999,4,44.8628192013,0.118,7.7943451684,0.242,-0.314
0300+470,1999,2,45.8968424423,0.31,47.2711876062,0.256,-0.091
0305+039,1999,5,47.1092657558,0.39,4.1109168144,0.676,0.022
0306+102,1999,2,47.265097963,0.545,10.4878723761,1.186,-0.628
0308-611,1999,1,47.483746127,1.431,-60.977515684,0.559,0.403
0316+413,1999,14,49.9506670198,2.339,41.5116951124,1.649,-0.024
0317+188,1999,5,49.9635697492,0.462,19.025358612,0.825,-0.381
0319+121,1999,1,50.4712645518,0.153,12.3538764268,0.255,0.011
0322+222,1999,7,51.403393215,0.107,22.4001013415,0.293,-0.166
0325+023,1999,1,51.9758120756,1.191,2.5616617018,1.243,0.437
0326+277,1999,1,52.4902893549,0.216,27.9376385923,0.19,-0.393
0333+321,1999,5,54.1254484494,0.195,32.3081505834,0.141,-0.179
0335-364,1999,2,54.2250979609,1.252,-36.2683962241,1.402,0.493
0336-019,1999,76,54.878907433,0.12,-1.7766121622,0.337,0.017
0338-214,1999,4,55.1483659191,0.306,-21.3253257393,0.551,0.085
0341+158,1999,2,56.0965506297,0.388,15.9953803877,0.719,-0.256
0342+147,1999,2,56.2767355609,0.38,14.897099439,0.556,-0.059
0355+508,1999,1,59.8739471416,0.443,50.9639341936,0.261,-0.014
0400+258,1999,2,60.7732752067,0.455,26.000417531,0.702,0.056
0400-319,1999,1,60.588608061,1.242,-31.790541369,1.153,0.339
0402-362,1999,63,60.9739579067,0.357,-36.0838646582,0.756,0.502
0405-123,1999,1,61.9517957067,0.613,-12.1935168708,1.423,-0.29
0405-385,1999,23,61.7459806254,0.917,-38.4411228275,1.632,0.471
0406-127,1999,1,62.2740403865,3.607,-12.6467059736,2.477,0.84
0409+229,1999,2,63.1819451752,0.514,23.0848478058,0.719,-0.216
0414-189,1999,1,64.1522678929,1.596,-18.8523174523,1.904,0.438
0415+379,1999,4,64.5886548991,0.19,38.0266116918,0.247,0.035
0420-014,1999,3,65.8158363553,0.217,-1.3425182231,0.549,-0.078
0422+004,1999,3,66.1951752476,0.268,0.601758052,0.54,-0.104
0423+051,1999,1,66.6525172412,0.132,5.3055199002,0.351,-0.406
0423+233,1999,1,66.7322279543,0.795,23.4610089672,1.185,0.51
0425+048,1999,1,66.9482119127,3.023,4.9523116379,2.059,0.225
0426+273,1999,4,67.4706698926,0.354,27.4105211064,0.499,-0.127
0430+052,1999,11,68.2962311763,0.081,5.3543384922,0.227,-0.123
0430+289,1999,4,68.4076244368,0.17,29.0987435995,0.169,-0.16
0434-188,1999,3,69.2561781368,0.209,-18.746837159,0.544,-0.352
0440+345,1999,4,70.8818132976,0.264,34.6851844916,0.329,-0.085
0444+634,1999,2,72.3471272767,0.717,63.5359539653,0.421,0.035
0446+112,1999,1,72.2819628893,0.281,11.3579433291,0.878,-0.493
0451-282,1999,1,73.311027924,1.389,-28.1270364231,1.207,0.255
0454+844,1999,4,77.1765151037,3.491,84.5345954763,0.361,-0.14
0454-234,1999,95,74.2632467408,0.249,-23.4144499844,0.508,0.083
0457+024,1999,8,74.9668775613,0.25,2.4919932624,0.711,-0.035
0458-020,1999,120,75.3033744861,0.195,-1.9872934297,0.502,-0.036
0459+060,1999,2,75.5643574199,1.286,6.1520810475,1.831,-0.036
0500+019,1999,1,75.8383211433,0.451,2.0512989619,0.966,-0.225
0502+049,1999,1,76.3466029905,0.065,4.9952011803,0.164,-0.196
0507+179,1999,3,77.509871255,0.626,18.0115505059,0.617,-0.361
0521-365,1999,18,80.7416028987,0.924,-36.4585694844,1.5,0.508
0528+134,1999,134,82.7350697346,0.157,13.5319859621,0.336,-0.015
0528-250,1999,2,82.5331783388,0.152,-25.0583054662,0.347,-0.583
0536+145,1999,5,84.9265248841,0.278,14.5626559405,0.451,-0.065
0537-158,1999,1,84.8833755635,0.172,-15.8417559177,0.439,-0.036
0537-441,1999,7,84.7098400283,0.306,-44.0858168222,0.612,0.149
0544+273,1999,4,86.8922871334,0.317,27.3657895959,0.439,-0.158
0552+398,1999,145,88.8783567042,0.22,39.8136569152,0.235,-0.003
0554+242,1999,2,89.2696398166,0.316,24.2320270784,0.425,0.108
0556+238,1999,34,89.8834713962,0.357,23.8983129567,0.506,0.069
0600+177,1999,3,90.7880427874,0.325,17.704669305,0.555,-0.201
0602+405,1999,1,91.4618972914,0.151,40.5022509764,0.147,0.472
0602+673,1999,1,91.9694652218,0.321,67.3487249172,0.144,-0.829
0605-085,1999,1,91.998747271,3.057,-8.580551035,9.843,-0.987
0607-157,1999,2,92.4206230297,0.087,-15.7112980622,0.261,0.015
0609+607,1999,1,93.5994424652,0.286,60.7727100909,0.141,0.393
0610+260,1999,3,93.4589131122,0.525,26.0768666251,0.694,-0.276
0636+680,1999,3,100.5177391206,0.874,67.9765613528,0.364,-0.317
0637-752,1999,6,98.9437830008,1.447,-75.2713376231,0.441,-0.036
0642+449,1999,60,101.633441612,0.224,44.8546083555,0.218,-0.022
0648-165,1999,1,102.6024244082,0.383,-16.6277016642,0.773,-0.004
0651+410,1999,3,103.791769724,0.258,41.0028222404,0.537,-0.3
0656+082,1999,1,104.8249834357,0.234,8.2252649719,0.51,-0.084
0657+172,1999,8,105.0063563618,0.192,17.1560281973,0.42,-0.099
0711+356,1999,1,108.6034059122,0.464,35.5777213527,0.243,-0.378
0716+714,1999,1,110.4727015962,1.357,71.343434107,0.641,0.863
0718+792,1999,68,111.5488967012,1.801,79.1919489606,0.297,-0.071
0722+145,1999,1,111.3200323846,0.42,14.4204851323,0.683,-0.077
0723-008,1999,2,111.4609997635,0.439,-0.9157067803,0.646,-0.556
0727-115,1999,129,112.5796352633,0.194,-11.6868334573,0.45,0.009
0733-174,1999,1,113.9408857302,3.743,-17.5968079112,2.681,-0.067
0735+178,1999,4,114.5308073052,0.36,17.7052773654,0.546,-0.022
0736+017,1999,2,114.8251411141,0.311,1.6179495546,0.52,-0.207
0738+313,1999,1,115.294597138,0.053,31.2000632101,0.168,-0.197
0738+491,1999,1,115.5114545035,2.5,49.0043362011,2.406,-0.001
0738-674,1999,1,114.73540218,2.708,-67.5974521451,1.399,-0.721
0742+103,1999,4,116.3877480707,0.323,10.1868589745,0.52,-0.123
0743+259,1999,3,116.6078090288,0.173,25.817259714,0.322,-0.165
0745+241,1999,5,117.1504552999,0.231,24.0066970853,0.438,-0.251
0748+126,1999,1,117.7168573668,0.439,12.518007889,0.724,0.058
0749+540,1999,91,118.2557689731,0.348,53.883232522,0.232,-0.014
0755+379,1999,1,119.6171173065,0.402,37.7866131024,0.703,-0.306
0804+499,1999,95,122.1652762073,0.275,49.8434806458,0.246,-0.099
0805+046,1999,3,121.9897440272,0.469,4.5429251887,0.771,-0.086
0805+410,1999,37,122.2360500824,0.323,40.8791358853,0.348,0.017
0805-077,1999,1,122.0647340706,0.63,-7.8527463547,1.171,-0.186
0814+425,1999,2,124.5666649153,0.451,42.3792819509,0.348,0.015
0818-128,1999,2,125.239364893,0.593,-12.9831025913,1.124,-0.207
0820+560,1999,1,126.1968186816,3.023,55.8785187747,2.39,-0.227
0821+621,1999,1,126.4108841557,0.459,61.9579387866,0.234,0.265
0823+033,1999,70,126.4597431017,0.115,3.1568109777,0.358,0.299
0823-223,1999,1,126.5065540986,0.871,-22.5075564009,1.574,-0.003
0827+243,1999,8,127.7170257869,0.235,24.1832835536,0.369,0.003
0828+493,1999,1,128.0967365005,0.314,49.2225105161,0.162,-0.046
0829+046,1999,3,127.9536539777,0.217,4.4941904278,0.345,0.102
0833+585,1999,1,129.3433730971,0.506,58.4171789306,0.396,0.149
0836+290,1999,1,129.8159487995,0.509,28.8441111877,1.257,-0.353
0836+710,1999,1,130.3515218963,0.289,70.8950480634,0.081,-0.159
0850+581,1999,2,133.6749849512,0.277,57.9583163194,0.237,0.227
0851+202,1999,126,133.7036455236,0.166,20.1085113357,0.293,0.033
0906+015,1999,1,137.2920483239,0.852,1.3598940008,1.086,-0.299
0912+029,1999,1,138.657972572,0.11,2.7664572819,0.279,-0.05
0917+624,1999,29,140.4009627545,0.428,62.2644945705,0.21,-0.078
0919-260,1999,37,140.3723076676,0.165,-26.312052041,0.43,0.814
0920+390,1999,3,140.8102204836,0.351,38.8277528079,0.399,-0.102
0920-397,1999,7,140.693409427,0.268,-39.9930747283,0.545,-0.514
0923+392,1999,112,141.7625580805,0.205,39.039125497,0.246,0.005
0937+262,1999,1,145.0613447947,0.353,26.0583185036,0.522,-0.055
0949+354,1999,1,148.1334424704,0.473,35.2145563343,0.476,-0.429
0951+693,1999,14,148.8882210458,1.202,69.0652946394,0.433,0.23
0952+179,1999,5,148.7367650541,0.21,17.7253394201,0.543,0.166
0953+254,1999,53,149.207814152,0.338,25.2544582873,0.511,0.217
0954+658,1999,6,149.6968546895,0.628,65.5652271874,0.268,-0.37
0955+326,1999,1,149.5872901221,0.108,32.4006137028,0.136,-0.211
0955+476,1999,118,149.581965167,0.279,47.4188451421,0.251,-0.053
1004+141,1999,29,151.9229087282,0.403,13.9415558014,0.692,-0.164
1011+250,1999,1,153.472619826,0.088,24.8212333194,0.122,-0.369
1014+615,1999,4,154.3578648107,0.295,61.2743045168,0.205,0.148
1022+194,1999,6,156.1867066304,0.077,19.2056709523,0.18,0.178
1030+074,1999,25,158.3917678909,0.452,7.1905965561,0.775,-0.095
1034-293,1999,76,159.3169988825,0.479,-29.5674481916,0.86,-0.021
1038+064,1999,7,160.3215103747,0.287,6.1713677385,0.51,-0.011
1038+528,1999,23,160.4449235322,0.568,52.5578420078,0.462,0.07
1039+811,1999,1,161.0960940188,0.66,80.9109563095,0.172,0.709
1040+123,1999,1,160.6858549901,0.369,12.0586841698,0.438,-0.393
1043+066,1999,2,161.4697222689,0.796,6.4101249815,1.715,-0.605
1044+719,1999,70,162.1150829815,0.596,71.7266495447,0.222,-0.158
1049+215,1999,1,162.953287937,0.171,21.3311981858,0.298,0.438
1053+704,1999,2,164.223406399,0.502,70.1960875787,0.153,-0.185
1053+815,1999,35,164.5480641891,1.731,81.2424097027,0.294,0.083
1055+018,1999,7,164.623355048,0.263,1.5663398993,0.457,-0.141
1057-797,1999,7,164.6804575794,2.874,-80.0650444145,0.464,0.159
1058+726,1999,1,165.4533551459,0.953,72.4269771931,0.498,0.2
1101+384,1999,35,166.1138080945,0.275,38.2088330232,0.309,0.011
1101-325,1999,1,165.8813591594,2.946,-32.8546324889,14.735,-0.895
1104+728,1999,2,166.9238445537,1.589,72.5433346617,0.429,0.128
1116+128,1999,1,169.738756012,0.563,12.5782551284,0.709,-0.25
1116-462,1999,1,169.6123231484,3.044,-46.5708348385,2.51,-0.04
1124-186,1999,64,171.7683018606,0.214,-18.9548448159,0.454,0.068
1125+596,1999,1,172.0555862243,0.739,59.4207773506,0.217,0.78
1128+385,1999,77,172.7220108578,0.27,38.2551519006,0.292,-0.052
1130+009,1999,2,173.3335657637,0.472,0.6813437675,0.926,-0.192
1133+704,1999,2,174.110034155,2.063,70.157585194,0.673,-0.076
1142+198,1999,1,176.2708710514,0.385,19.6063167887,0.795,-0.03
1144+352,1999,1,176.8422105327,1.579,35.0187569196,0.736,-0.382
1144+402,1999,4,176.7429079458,0.121,39.9761957407,0.161,-0.07
1144-379,1999,57,176.7557113554,0.458,-38.2030621246,0.743,0.393
1145-071,1999,12,176.9648084263,0.109,-7.4114282332,0.286,-0.173
1146+596,1999,1,177.2098263215,1.703,59.4156619936,0.666,-0.28
1147+245,1999,1,177.5800508997,0.523,24.2982878116,0.611,-0.02
1156+295,1999,60,179.8826413189,0.218,29.2455074419,0.285,-0.172
1213-172,1999,2,183.9447990986,0.349,-17.5292786171,0.64,0.015
1216+487,1999,1,184.7767281275,0.522,48.4989346244,0.162,0.394
1219+044,1999,98,185.5939567301,0.221,4.2210488543,0.554,0.048
1219+285,1999,2,185.3820436906,0.153,28.2329162877,0.264,-0.281
1221+809,1999,2,185.9187239999,1.596,80.6678724084,0.232,-0.06
1222+037,1999,7,186.2184248732,0.395,3.513969952,0.888,-0.24
1222+131,1999,4,186.2655973237,0.526,12.886982923,1.256,-0.249
1226+023,1999,11,187.2779166271,4.056,2.0523896158,6.304,0.797
1228+126,1999,60,187.7059307428,0.158,12.3911232473,0.303,-0.15
1228-113,1999,1,187.731481412,5.429,-11.6527214644,3.993,-0.831
1236+077,1999,3,189.852451367,0.437,7.5047748878,0.913,-0.158
1237-101,1999,6,189.9294229776,0.347,-10.3913034237,0.703,-0.03
1237-113,1999,1,189.997634329,2.113,-11.6230565656,4.518,-0.918
1239+376,1999,2,190.5408855907,0.719,37.334914759,1.033,0.508
1239+606,1999,3,190.3732943744,1.336,60.3448117999,0.545,-0.337
1243-072,1999,5,191.5176337338,0.158,-7.5129374907,0.354,-0.199
1244-255,1999,2,191.695008467,0.426,-25.7970249299,1.117,-0.649
1253-055,1999,2,194.046527479,0.257,-5.7893123354,0.407,-0.012
1254+571,1999,1,194.0593080122,0.436,56.873676957,0.376,-0.151
1255-316,1999,7,194.4960866974,0.188,-31.9213477725,0.473,0.485
1300+580,1999,15,195.718605609,0.752,57.8104469545,0.489,-0.169
1302-102,1999,5,196.387562734,0.431,-10.5553965423,0.403,-0.278
1308+326,1999,65,197.6194326526,0.194,32.3454952234,0.224,-0.032
1308+328,1999,5,197.7475114193,0.302,32.5595693211,0.36,-0.081
1313-333,1999,25,199.0332747416,0.322,-33.6497701974,0.714,0.078
1315+346,1999,1,199.4020590593,0.148,34.4210923889,0.261,-0.144
1322+366,1999,1,201.2143386745,1.792,36.3785498365,4.048,0.521
1330+476,1999,1,203.1885267747,0.267,47.372963216,0.127,0.366
1334-127,1999,111,204.4157615327,0.204,-12.9568593171,0.453,-0.028
1338+381,1999,1,205.0956326943,0.667,37.9121757818,0.927,-0.705
1342+662,1999,1,205.9414969923,4.346,66.0404845871,2.029,0.29
1342+663,1999,1,206.0361649005,0.842,66.1032344767,0.189,-0.437
1347+539,1999,1,207.394402766,0.621,53.6880665927,0.176,-0.616
1351-018,1999,50,208.5287304864,0.237,-2.100886248,0.579,0.08
